id,machine,day,temperature,vibration,load,regime,failure,repair_after,probability
0,0,0,,,0.191,idle,0,none,0.023807
1,0,1,51.133,0.003,0.365,idle,0,none,0.017018
2,0,2,53.406,0.355,0.785,loaded,0,none,0.046253
3,0,3,53.260,0.933,0.645,loaded,0,none,0.088921
4,0,4,50.185,0.816,0.291,idle,0,none,0.050856
5,0,5,48.716,0.857,0.160,idle,0,none,0.046398
6,0,6,55.577,1.312,0.889,loaded,0,none,0.187597
7,0,7,57.239,1.461,0.908,loaded,0,none,0.228139
8,0,8,53.129,0.975,0.279,idle,0,none,0.062828
9,0,9,57.973,0.840,0.214,idle,0,none,0.048207
10,0,10,63.662,1.758,0.698,loaded,0,none,0.263999
11,0,11,,1.547,0.716,loaded,0,none,0.210708
12,1,0,58.032,1.515,0.719,loaded,0,none,0.203432
13,1,1,61.572,2.114,0.690,loaded,0,none,0.377332
14,1,2,53.157,1.511,0.144,idle,0,none,0.112896
15,1,3,53.613,1.682,0.166,idle,0,none,0.144630
16,1,4,,2.254,0.728,loaded,0,none,0.439051
17,1,5,66.711,2.411,0.877,loaded,0,none,0.542358
18,1,6,60.786,2.295,0.293,idle,1,replaced,0.330487
19,1,7,57.821,2.084,0.186,idle,1,replaced,0.240338
20,1,8,62.148,2.973,0.685,loaded,1,replaced,0.685982
21,1,9,70.057,2.979,0.725,loaded,1,replaced,0.698048
22,1,10,,2.376,0.237,idle,1,replaced,0.342758
23,1,11,68.345,,0.276,idle,1,replaced,0.436695
24,2,0,58.267,2.049,0.440,idle,0,none,0.289491
25,2,1,59.527,2.366,0.362,idle,0,none,0.373554
26,2,2,65.729,3.015,0.790,loaded,1,replaced,0.725376
27,2,3,65.137,2.626,0.644,loaded,1,replaced,0.552851
28,2,4,60.667,2.640,0.352,idle,0,none,0.470497
29,2,5,,,0.358,idle,1,replaced,0.528583
30,2,6,71.667,3.298,0.780,loaded,1,replaced,0.799540
31,2,7,69.977,3.627,0.847,loaded,1,replaced,0.876156
32,2,8,,2.998,0.270,idle,0,none,0.579506
33,2,9,70.176,3.518,0.264,idle,0,none,0.749127
34,2,10,,3.457,0.898,loaded,1,replaced,0.853543
35,2,11,74.802,3.595,0.712,loaded,1,replaced,0.851579
36,3,0,62.154,1.765,0.740,loaded,0,none,0.276042
37,3,1,,2.366,0.702,loaded,0,none,0.472760
38,3,2,54.456,2.244,0.143,idle,0,none,0.276518
39,3,3,58.967,1.779,0.322,idle,0,none,0.190814
40,3,4,68.156,2.991,0.846,loaded,1,replaced,0.731314
41,3,5,,2.970,0.841,loaded,1,replaced,0.723838
42,3,6,59.953,2.018,0.173,idle,1,replaced,0.219884
43,3,7,63.030,2.207,0.215,idle,0,none,0.282563
44,3,8,67.341,3.315,0.768,loaded,1,replaced,0.801084
45,3,9,70.855,3.004,0.773,loaded,0,none,0.717652
46,3,10,67.239,2.925,0.221,idle,0,none,0.538261
47,3,11,66.292,2.789,0.316,idle,1,replaced,0.515603
48,4,0,,2.097,0.214,idle,1,replaced,0.250181
49,4,1,63.394,2.258,0.412,idle,0,none,0.350001
50,4,2,68.702,2.880,0.764,loaded,1,replaced,0.676201
51,4,3,69.271,3.119,0.751,loaded,0,none,0.746410
52,4,4,65.497,2.954,0.408,idle,1,replaced,0.603386
53,4,5,,2.773,0.202,idle,0,none,0.475438
54,4,6,69.669,3.749,0.883,loaded,1,replaced,0.898654
55,4,7,73.700,3.564,0.944,loaded,0,none,0.878526
56,4,8,63.837,3.483,0.295,idle,0,none,0.746260
57,4,9,70.678,3.818,0.404,idle,1,replaced,0.847089
58,4,10,,,0.882,loaded,1,replaced,0.915217
59,4,11,76.257,3.742,0.769,loaded,1,replaced,0.884515
60,5,0,,3.289,0.747,loaded,1,replaced,0.790899
61,5,1,69.120,3.207,0.939,loaded,1,replaced,0.808078
62,5,2,66.480,3.158,0.396,idle,0,none,0.670793
63,5,3,68.136,3.062,0.385,idle,0,none,0.635391
64,5,4,72.664,,0.752,loaded,1,replaced,0.899927
65,5,5,,3.825,0.854,loaded,1,replaced,0.905657
66,5,6,65.911,3.535,0.318,idle,0,none,0.765663
67,5,7,68.469,3.883,0.225,idle,1,replaced,0.831325
68,5,8,69.585,3.956,0.702,loaded,1,replaced,0.906921
69,5,9,,4.064,0.765,loaded,1,replaced,0.925050
70,5,10,,4.283,0.294,idle,1,replaced,0.906964
71,5,11,73.314,4.421,0.172,idle,1,replaced,0.912033
72,6,0,53.510,0.643,0.450,idle,0,none,0.047615
73,6,1,52.237,0.248,0.378,idle,0,none,0.024727
74,6,2,,0.625,0.725,loaded,0,none,0.063360
75,6,3,58.275,0.804,0.762,loaded,0,none,0.084728
76,6,4,49.848,0.850,0.313,idle,0,none,0.054700
77,6,5,53.527,0.876,0.266,idle,0,none,0.053804
